"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-01","2023","01","01","","0.2","","-3.3","","-1.6","","19.6","","0.0","","","","","","1.9","","25","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-02","2023","01","02","","-1.7","","-4.8","","-3.2","","21.2","","0.0","","","","","","0.0","","25","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-03","2023","01","03","","-3.5","","-11.6","","-7.6","","25.6","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-04","2023","01","04","","-3.2","","-16.1","","-9.7","","27.7","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-05","2023","01","05","","-5.8","","-21.2","","-13.5","","31.5","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-06","2023","01","06","","-5.7","","-23.5","","-14.6","","32.6","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-07","2023","01","07","","-4.5","","-17.2","","-10.9","","28.9","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-08","2023","01","08","","-0.5","","-19.5","","-10.0","","28.0","","0.0","","","","","","0.0","","24","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-09","2023","01","09","","-3.5","","-5.5","","-4.5","","22.5","","0.0","","","","","","0.0","","25","","","","",""
"-89.33","48.37","THUNDER BAY CS","6048268","2023-01-10","2023","01","10","","-0.3","","-4.9","","-2.6","","20.6","","0.0","","","","","","0.4","","25","","","","",""
